workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,error
217,condition1,33,Yes,No feedback,4,2,1,Female,English,
205,condition1,48,Yes,,4,1,1,Male,English,
473,condition1,,,,-1,-1,-1,,,
518,condition1,82,Yes,thank you,4,1,1,Female,english,
489,condition1,18,Yes,,3,1,1,Female,English,
287,condition1,70,Yes,,3,1,1,Male,english,
359,condition1,26,Yes,na,5,1,1,Male,English,
486,condition1,21,Yes,,3,1,1,Female,English,
558,condition1,33,Yes,,4,1,1,Male,english,
567,condition1,24,Yes,,4,1,1,Female,English,
560,condition1,65,Yes,"The experiment made me think! I can see how someone waiting in a boring line could say that the time was longer rather than shorter. I can also see someone being more specific if the event was happening fairly soon rather later in the day. I was also thinking it would be different with an analog watch rather than a digital watch! With a digital watch, it would be easier to give the exact time such as 9:17 rather than 9:15. Wouldn't most people with a digital timepiece say the exact time?  I'm not sure! Interesting. ",4,2,1,Female,English,
538,condition1,51,Yes,,4,1,1,Female,english,
295,condition1,27,Yes,,4,2,1,Male,English,
164,condition1,21,No,I don't have any comments.,3,1,0,Male,"bengali, english",
393,condition1,31,Yes,,4,2,1,Male,english,
275,condition1,19,Yes,,3,2,1,Female,English,
356,condition1,48,Yes,,3,2,1,Female,English,
426,condition1,32,No,Just a fun concept. Unique compared to other surveys,4,2,1,Male,english,
198,condition1,19,Yes,,3,1,1,Female,English,
377,condition1,56,Yes,NA,3,2,1,Female,English,
544,condition1,18,No,What was the point of this? Where were the measurement markers for time?,3,1,1,Female,English,
322,condition1,50,Yes,,3,2,1,Male,English,
414,condition1,19,Yes,,3,1,1,Female,English,
442,condition1,20,Yes,,3,1,1,Female,English ,
221,condition1,33,No,I felt like the experiment could have been explained a little more.,4,2,1,Female,Spanish,
200,condition1,21,Yes,,3,2,1,Male,English,
245,condition1,21,Yes,,3,1,1,Female,English,
389,condition1,60,Yes,,4,2,1,Female,English,
474,condition1,23,Yes,,3,2,1,Female,English,
405,condition1,22,Yes,,4,1,1,Female,English,
403,condition1,28,Yes,,4,2,1,Male,English,
382,condition1,43,Yes,,3,1,0,Female,english,
443,condition1,20,Yes,Interesting take on a survey; I liked the visuals.,3,2,1,Female,English,
211,condition1,22,Yes,,2,2,1,Female,English,
163,condition1,20,Yes,,3,2,1,Female,english,
372,condition1,32,Yes,Numbers for time didn’t show on my screen. Only sliders. ,3,1,1,Female,English,
539,condition1,22,Yes,,4,1,1,Female,English,
291,condition1,27,No,The initial explanation wasn't great,3,1,1,Male,English,
542,condition1,32,Yes,,4,2,1,Female,English,
432,condition1,74,Yes,,2,1,1,Male,english,
503,condition1,37,Yes,,3,2,1,Male,English,
298,condition1,33,Yes,,5,2,1,Female,English,
458,condition1,46,Yes,,5,2,1,Male,English,
371,condition1,20,Yes,,3,1,1,Female,English,
429,condition1,21,Yes,I liked the survey ,3,2,1,Female,English,
361,condition1,56,Yes,,4,2,1,Female,English,
354,condition1,24,Yes,,4,2,1,Female,English,
365,condition1,35,Yes,,5,1,1,Male,English,
212,condition1,30,Yes,It was an interesting experiment. Different style then most others.,3,1,1,Male,english,
208,condition1,29,Yes,For the pay it's generous. Thanks.,0,1,1,Male,English,
413,condition1,22,Yes,,4,2,1,Male,English,
457,condition1,21,Yes,,3,1,1,Male,English,
517,condition1,22,No,,2,-1,1,Female,English,
441,condition1,36,Yes,"The outfits didn't affect my perception much, but the situations did.",4,1,1,Male,English,
251,condition1,30,Yes,,4,2,1,Female,english,
444,condition1,27,Yes,no problem doing survey,2,1,0,Male,English,
294,condition1,42,Yes,,4,2,1,Male,English,
383,condition1,26,Yes,,4,1,1,Female,English,
579,condition1,35,Yes,,4,1,1,Male,English,
563,condition1,33,Yes,I feel like people in general overestimate how long they've been waiting for things.,3,1,1,Male,English,
280,condition1,41,Yes,,4,1,1,Male,English,
235,condition1,65,Yes,,2,1,1,Male,English ,
575,condition1,25,Yes,,4,1,1,Female,English,
250,condition1,27,Yes,"Was a bit confusing when reading instructions at first but got the hang of it, very fun.",4,2,1,Male,Arabic,
166,condition1,27,Yes,,2,1,1,Female,English,
498,condition1,31,Yes,none,3,1,1,Female,English,
336,condition1,40,Yes,,5,1,1,Female,English,
412,condition1,49,Yes,,4,2,1,Female,English,
228,condition1,29,Yes,,4,1,1,Female,English and Spanish,
232,condition1,27,Yes,,5,-1,1,Female,English ,
253,condition1,44,Yes,,4,1,1,Female,English,
425,condition1,24,Yes,,4,1,1,Female,english,
497,condition1,59,Yes,I probably don't understand the strategy of the experiment but its okay.,4,1,1,Female,english,
550,condition1,36,Yes,,2,2,1,Male,English,
577,condition1,54,Yes,,3,1,1,Male,English,
394,condition1,46,Yes,I think it was different but interesting,3,1,1,Male,English,
299,condition1,19,Yes,,2,1,1,Male,English,
417,condition1,35,Yes,,4,1,1,Female,English,
466,condition1,38,Yes,NA,3,2,1,Female,English,
242,condition1,25,Yes,,4,1,1,Female,English,
523,condition1,22,Yes,This experiment was clear and very interesting,3,2,1,Female,English,
513,condition1,42,Yes,,5,1,1,Female,English,
446,condition1,24,Yes,,4,1,1,Female,English,
456,condition1,23,Yes,,4,1,1,Female,English,
195,condition1,39,Yes,nothing to report,3,1,1,Male,English,
576,condition1,22,Yes,,4,2,1,Female,English,
244,condition1,20,Yes,,3,2,0,Female,English ,
206,condition1,27,No,"The interface was very clunky on a mobile device. Also, the instructions were not clear but I tried my best based off of my understanding. ",3,0,0,Female,English,
455,condition1,26,Yes,,3,1,1,Female,2,
267,condition1,21,Yes,Seemed straight forward,3,1,1,Male,English,
265,condition1,54,Yes,,2,2,1,Female,English ,
449,condition1,26,Yes,,4,1,1,Female,English,
204,condition1,21,No,,3,1,1,Female,english,
178,condition1,38,Yes,I liked that you used pictures of people.,2,1,1,Female,english,
187,condition1,39,Yes,,4,1,1,Male,english,
238,condition1,25,Yes,,4,1,1,Female,English ,
509,condition1,29,Yes,,4,1,1,Female,English,
301,condition1,25,Yes,,4,2,1,Female,English,
307,condition1,29,Yes,I have none.,3,1,1,Male,English,
516,condition1,22,Yes,N/A,4,1,1,Female,English,
346,condition1,52,Yes,"Everything was clear. Thank you, and have a nice day!",4,1,1,Female,English,
364,condition1,41,Yes,Good luck with your research. I think when people are waiting or have been waiting it seems like more time has passed than actually did.,3,2,1,Female,English,
468,condition1,20,Yes,I do like how different it is for interaction.,2,1,1,Male,English,
247,condition1,54,Yes,It seemed a bit redundant.,2,1,1,Female,English,
321,condition1,43,No,Good format,5,2,1,Male,English,
522,condition1,29,Yes,,4,2,1,Female,English,
510,condition1,26,Yes,,3,1,1,Male,English,
192,condition1,28,Yes,,4,1,1,Female,english,
302,condition1,21,Yes,,3,1,1,Female,english,
285,condition1,25,Yes,,5,2,1,Female,English,
566,condition1,65,Yes,,4,1,1,Female,English,
402,condition1,40,Yes,,3,1,0,Male,English,
397,condition1,28,No,"Survey was not explained well , no numbers or questions on scales very confusing.",2,0,1,Female,English,
376,condition1,19,Yes,,3,1,1,Female,english ,
341,condition1,23,Yes,,4,1,1,Female,english,
415,condition1,23,Yes,,3,1,0,Male,english,
574,condition1,57,Yes,,4,1,1,Female,English,
316,condition1,20,Yes,,3,1,1,Female,english,
315,condition1,25,Yes,,4,2,1,Male,English,
506,condition1,33,Yes,,4,1,1,Female,english,
319,condition1,33,Yes,,1,1,1,Female,english,
439,condition1,35,Yes,,4,2,0,Male,English,
370,condition1,28,Yes,,3,1,1,Female,English,
182,condition1,35,Yes,,5,2,1,Female,English,
422,condition1,29,Yes,No comment,4,2,1,Female,English,
445,condition1,40,Yes,,3,1,0,Male,,
375,condition1,21,Yes,None thank you!,3,1,1,Female,"English, Polish",
258,condition1,28,Yes,It was a quick and easy survey.,3,1,1,Male,English,
158,condition1,31,Yes,"The framing of the question was a bit odd, I had to read it a few times to understand what was being asked. ",4,2,1,Female,English,
264,condition1,20,No,very confusing as to who was who and what the question was asking,3,0,0,Female,english,
203,condition1,20,Yes,"My thoughts on scaling this sort of changed throughout the experiment. I do not know if that was the intent, but it happened. ",3,1,0,Male,English,
447,condition1,28,Yes,,2,1,1,Male,English,
355,condition1,21,Yes,,3,1,1,Female,English,
324,condition1,32,Yes,This made me think about what is reasonable to report for time in certain situations. ,3,1,1,Female,English,
427,condition1,27,Yes,,5,1,1,Female,English,
515,condition1,25,Yes,,4,1,1,Male,"English, Chinese",
350,condition1,30,Yes,,3,1,1,Female,English,
290,condition1,69,Yes,,5,2,1,Female,english,
273,condition1,74,Yes,I enjoyed the experiment,3,1,1,Female,english,
210,condition1,34,Yes,no additional feedback,5,1,1,Male,English,
433,condition1,25,Yes,N/A,4,1,1,Female,English,
193,condition1,30,Yes,,3,1,1,Female,English,
507,condition1,49,Yes,I'm not sure what I think about the experiment. ,3,1,1,Female,English,
184,condition1,25,Yes,"It was fun to see the pictures of the people and it was an interesting survey, thanks!",3,2,1,Female,English,
423,condition1,43,Yes,,3,1,1,Male,English,
436,condition1,38,Yes,,5,1,0,Male,English ,
283,condition1,22,Yes,,2,1,1,Female,English,
374,condition1,39,Yes,,5,2,1,Male,english,
328,condition1,30,Yes,,3,1,1,Female,English,
279,condition1,21,No,,2,2,1,Female,English,
465,condition1,32,Yes,,4,2,1,Female,English,
246,condition1,44,Yes,Thank you. Happy new year.,4,2,1,Male,English,
358,condition1,31,Yes,interesting study!,5,2,1,Female,"English, Korean",
411,condition1,39,Yes,This was one of the more interesting studies I've done. Made me think about time differently.,4,2,1,Female,Cantonese and English,
338,condition1,47,Yes,no problems,4,1,1,Male,English,
485,condition1,50,Yes,,5,2,1,Female,English,
277,condition1,25,Yes,,3,2,1,Male,English,
467,condition1,37,Yes,"Thank you, I really enjoyed participating in this study.",4,2,1,Male,English,
335,condition1,28,No,,4,0,1,Female,English,
222,condition1,24,No,,4,2,0,Female,english,
541,condition1,19,Yes,,3,-1,1,Female,"English, Spanish",
396,condition1,24,Yes,I liked this,4,2,1,Female,English,
557,condition1,57,Yes,,3,1,0,Female,english,
420,condition1,62,Yes,,5,2,1,Female,English,
347,condition1,57,Yes,,4,2,1,Female,English,
512,condition1,24,Yes,,4,1,1,Female,"English, Bangla",
292,condition1,38,Yes,i liked the pictures used for the people ,4,1,1,Female,english,
249,condition1,21,Yes,,3,2,1,Female,English,
369,condition1,29,No,The study didn’t really make sense to me. All the questions were essentially the same,2,1,1,Male,1,
226,condition1,30,Yes,,4,1,1,Female,English,
303,condition1,32,Yes,This definitely got me thinking about perception of time. I'm very picky about giving someone the exact time but there are people in my life who like to round to the nearest quarter.,1,2,1,Female,English,
398,condition1,48,Yes,The illustrations that were used in the experiment are interesting; they enhanced the experiment itself.,3,2,1,Female,English and Spanish,
568,condition1,48,Yes,none,4,2,1,Male,english,
514,condition1,24,Yes,,4,1,1,Female,english,
479,condition1,37,Yes,,4,2,1,Female,english,
165,condition1,20,Yes,The slide option does not display any numbers thus making it hard to answer correctly.,3,0,0,Female,Spanish and English,
272,condition1,46,Yes,the question was kind of confusin.  I understand but it did take a minute to figure our,3,1,1,Female,english,
168,condition1,26,Yes,,4,2,1,Other,English,
571,condition1,54,Yes,,4,1,1,Female,English,
451,condition1,58,Yes,,3,1,1,Male,English,
527,condition1,23,Yes,Interesting survey. Thank you for the opportunity! ,3,2,1,Female,English,
448,condition1,66,Yes,Very interesting but I don't quite understand what the data will tell you.,4,1,1,Female,English,
199,condition1,31,Yes,,3,2,1,Female,English,
